Agent,w_0,w_1,w_2,w_3
agent_0,0.529309,0.768224,0.447278,0.183126
agent_1,0.618721,0.810204,0.259998,0.168819
agent_2,0.642679,0.527559,0.309532,0.151035
agent_3,0.505431,0.761654,0.380377,0.202479
agent_4,0.580396,0.841598,0.451479,0.282885
agent_5,0.526097,0.955874,0.253691,0.168041
agent_6,0.419281,0.761386,0.471142,0.055523
agent_7,0.500588,0.842411,0.284910,0.170878
agent_8,0.553327,0.798471,0.206421,0.321538
agent_9,0.604922,0.742105,0.394400,0.142361
agent_10,0.507219,0.640082,0.182842,0.244781
agent_11,0.725317,0.861321,0.512306,0.130612
agent_12,0.575427,0.710045,0.314956,0.193401
agent_13,0.571527,1.000000,0.440972,0.164505
agent_14,0.450032,0.764708,0.591523,0.205981
agent_15,0.530473,0.916066,0.290976,0.244199
agent_16,0.538683,0.837410,0.404126,0.371833
agent_17,0.618161,0.787290,0.453548,0.229470
agent_18,0.669274,0.791054,0.344093,0.361044
agent_19,0.574366,0.823562,0.650330,0.204650
agent_20,0.480457,0.765419,0.503508,0.296493
agent_21,0.672668,0.909926,0.506410,0.119097
agent_22,0.381014,0.829740,0.527604,0.385741
agent_23,0.568715,0.804549,0.434002,0.132231
agent_24,0.435361,0.768548,0.383482,0.285087
agent_25,0.507564,0.669959,0.432459,0.052262
agent_26,0.632281,0.755820,0.377013,0.204357
agent_27,0.580012,0.795202,0.574006,0.204400
agent_28,0.598590,0.844739,0.146077,0.181637
agent_29,0.576586,0.703417,0.366224,0.368908
agent_30,0.503581,0.849045,0.487597,0.079476
agent_31,0.657559,0.873283,0.481350,0.243733
agent_32,0.414856,0.855065,0.423538,0.247066
agent_33,0.598902,0.820366,0.655106,0.000000
agent_34,0.603891,0.755726,0.456309,0.000000
agent_35,0.675194,0.761220,0.395111,0.282610
agent_36,0.624932,0.765972,0.179435,0.261474
agent_37,0.855946,0.710993,0.515705,0.266724
agent_38,0.443648,0.756431,0.326892,0.302472
agent_39,0.573941,0.925538,0.473250,0.075691
agent_40,0.764300,0.654950,0.380523,0.255859
agent_41,0.769135,0.910233,0.434106,0.108642
agent_42,0.595562,0.588142,0.355045,0.186395
agent_43,0.547297,0.677539,0.308165,0.202223
agent_44,0.374416,0.945926,0.387679,0.178135
agent_45,0.742421,0.889997,0.396514,0.221620
agent_46,0.519231,0.894469,0.293484,0.241183
agent_47,0.227878,0.821842,0.460241,0.310525
agent_48,0.555484,0.805320,0.388359,0.138015
agent_49,0.613795,0.651961,0.461292,0.186893
agent_50,0.495942,0.952542,0.482996,0.313227
agent_51,0.672684,0.741418,0.436202,0.218778
agent_52,0.565260,0.873368,0.363895,0.080746
agent_53,0.697529,0.782301,0.333278,0.293331
agent_54,0.559655,0.631570,0.476205,0.031586
agent_55,0.543755,0.880043,0.332027,0.222041
agent_56,0.363678,0.856965,0.329688,0.265553
agent_57,0.482788,0.657782,0.479671,0.255601
agent_58,0.587713,0.822422,0.262267,0.110723
agent_59,0.385315,0.775837,0.504809,0.018191
agent_60,0.443683,0.756815,0.404900,0.253833
agent_61,0.526623,0.856297,0.359806,0.394133
agent_62,0.717856,0.801605,0.440791,0.159734
agent_63,0.577393,0.884328,0.625980,0.188804
agent_64,0.740335,0.862507,0.502225,0.313705
agent_65,0.589538,0.591083,0.356432,0.072565
agent_66,0.663219,0.792255,0.257925,0.271710
agent_67,0.569722,0.767378,0.562848,0.000000
agent_68,0.692603,0.975190,0.444301,0.257348
agent_69,0.694049,0.897576,0.362862,0.085409
agent_70,0.457368,0.726824,0.333503,0.307660
agent_71,0.513096,0.509720,0.407954,0.186394
agent_72,0.556653,0.809040,0.383783,0.182156
agent_73,0.799343,0.800336,0.404954,0.405124
agent_74,0.567699,0.936457,0.406268,0.159571
agent_75,0.562404,0.859940,0.376395,0.390414
agent_76,0.403798,0.961150,0.412605,0.107034
agent_77,0.657793,0.902846,0.380396,0.271227
agent_78,0.551380,0.730435,0.400454,0.000000
agent_79,0.639672,0.814085,0.383440,0.318734
agent_80,0.750830,0.771266,0.388619,0.135730
agent_81,0.600957,0.882675,0.273797,0.122830
agent_82,0.460785,0.717675,0.451142,0.354023
agent_83,0.674187,0.844344,0.296418,0.319271
agent_84,0.577405,0.831197,0.337280,0.311603
agent_85,0.684384,0.752738,0.520526,0.231984
agent_86,0.840455,0.813394,0.275729,0.304636
agent_87,0.608349,0.766155,0.450075,0.265462
agent_88,0.834778,0.791916,0.411131,0.248012
agent_89,0.692057,0.795400,0.449721,0.272220
agent_90,0.559708,0.902040,0.368739,0.375607
agent_91,0.543989,0.911213,0.466520,0.144729
agent_92,0.511293,0.709610,0.373662,0.215787
agent_93,0.659522,0.886025,0.388650,0.105366
agent_94,0.625176,0.688222,0.489298,0.162850
agent_95,0.628683,0.800083,0.221621,0.289203
agent_96,0.473720,0.743456,0.649840,0.104317
agent_97,0.612038,0.876046,0.564433,0.126558
agent_98,0.435309,0.890624,0.442331,0.184481
agent_99,0.635524,0.628750,0.427410,0.344790
agent_100,0.653811,0.973586,0.261990,0.200183
agent_101,0.643264,0.829287,0.514814,0.119958
agent_102,0.551235,0.802353,0.384359,0.268480
agent_103,0.632219,0.757716,0.776106,0.180398
agent_104,0.415053,0.903695,0.419065,0.252217
agent_105,0.646652,0.781564,0.278546,0.204013
agent_106,0.450702,0.886431,0.465347,0.226386
agent_107,0.456015,0.849180,0.308974,0.106494
agent_108,0.689209,0.784324,0.500753,0.042618
agent_109,0.728579,0.876986,0.422567,0.307645
agent_110,0.614547,0.846577,0.540295,0.220339
agent_111,0.687212,0.671265,0.207225,0.000000
agent_112,0.500941,0.848206,0.456608,0.184651
agent_113,0.796622,0.815498,0.551190,0.223654
agent_114,0.404633,0.807155,0.297628,0.223162
agent_115,0.647714,0.897826,0.338131,0.319943
agent_116,0.609507,0.767422,0.448972,0.209631
agent_117,0.559647,0.871007,0.250678,0.199535
agent_118,0.751878,0.702139,0.424141,0.102740
agent_119,0.611990,0.833253,0.345155,0.130958
agent_120,0.417709,0.932576,0.367551,0.122833
agent_121,0.492725,0.693040,0.336956,0.230263
agent_122,0.694184,0.892925,0.375638,0.053221
agent_123,0.732512,0.701313,0.328416,0.174131
agent_124,0.606670,0.954674,0.363710,0.000000
agent_125,0.564896,0.701780,0.540314,0.399731
agent_126,0.659642,0.723645,0.311909,0.200443
agent_127,0.494437,0.682641,0.211177,0.146468
agent_128,0.686147,0.755105,0.420327,0.163395
agent_129,0.723800,0.774508,0.419614,0.181834
agent_130,0.641194,0.826755,0.274713,0.182913
agent_131,0.666312,0.640111,0.450421,0.083925
agent_132,0.689202,0.779597,0.401089,0.158988
agent_133,0.651507,0.588817,0.280296,0.207010
agent_134,0.529354,0.838176,0.416521,0.238953
agent_135,0.545823,0.814543,0.245310,0.136296
agent_136,0.617326,0.831436,0.383632,0.253158
agent_137,0.753396,0.671428,0.364890,0.332597
agent_138,0.405182,0.639812,0.463705,0.176535
agent_139,0.543943,1.000000,0.548334,0.179531
agent_140,0.590933,0.905252,0.406080,0.070752
agent_141,0.544475,0.871213,0.346196,0.180710
agent_142,0.487460,0.775712,0.396120,0.350157
agent_143,0.447027,0.855304,0.525517,0.295782
agent_144,0.498685,0.855851,0.398632,0.140024
agent_145,0.738317,1.000000,0.468164,0.277112
agent_146,0.567611,0.907894,0.365461,0.197043
agent_147,0.531467,0.808794,0.420535,0.222765
agent_148,0.495935,0.799671,0.445244,0.297254
agent_149,0.628993,0.718005,0.480131,0.067258
agent_150,0.502636,0.652187,0.564381,0.228615
agent_151,0.592132,0.725229,0.371667,0.015571
agent_152,0.480922,0.815571,0.393869,0.261446
agent_153,0.581615,0.788933,0.404163,0.229831
agent_154,0.735339,0.849466,0.568210,0.374266
agent_155,0.564294,0.789619,0.397639,0.294962
agent_156,0.734032,0.803815,0.443491,0.299216
agent_157,0.450574,0.723038,0.288590,0.265045
agent_158,0.524769,0.826267,0.375639,0.284753
agent_159,0.672008,0.762959,0.235026,0.161434
agent_160,0.604329,0.875881,0.317801,0.268264
agent_161,0.569368,0.939728,0.479619,0.123600
agent_162,0.695166,0.719578,0.448276,0.069921
agent_163,0.529864,0.745398,0.432682,0.216204
agent_164,0.676162,0.781728,0.297594,0.290862
agent_165,0.511051,0.792765,0.387725,0.335742
agent_166,0.668818,0.803163,0.331958,0.243681
agent_167,0.637902,0.764023,0.337240,0.291267
agent_168,0.716748,0.779382,0.422743,0.219435
agent_169,0.494159,0.885426,0.518115,0.338108
agent_170,0.436905,0.986986,0.363087,0.275662
agent_171,0.683113,0.855193,0.389687,0.379407
agent_172,0.515928,0.723031,0.488612,0.226834
agent_173,0.601070,0.843722,0.267342,0.245093
agent_174,0.732123,0.796317,0.162684,0.084286
agent_175,0.712585,0.814351,0.493510,0.157381
agent_176,0.549848,0.760641,0.492106,0.168464
agent_177,0.502936,0.689739,0.343890,0.179194
agent_178,0.691640,0.668522,0.519991,0.184350
agent_179,0.606506,0.783367,0.345920,0.134662
agent_180,0.590769,0.872302,0.399212,0.261289
agent_181,0.537684,1.000000,0.595416,0.174867
agent_182,0.530067,0.864252,0.396046,0.142691
agent_183,0.587604,0.717913,0.454427,0.226416
agent_184,0.511393,0.792731,0.370408,0.066894
agent_185,0.465260,0.752681,0.476481,0.106329
agent_186,0.537303,0.849795,0.453199,0.112664
agent_187,0.650229,0.796929,0.412323,0.151140
agent_188,0.457168,0.718027,0.255208,0.142662
agent_189,0.582059,0.926562,0.427210,0.313109
agent_190,0.590767,0.759762,0.391010,0.165792
